Age,Gender,Education,Country,Ethnicity,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
18-24,F,Masters degree,UK,White,CL4,CL0,CL0,CL3,CL5,CL2,CL4,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0
18-24,M,University degree,UK,White,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL5,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,M,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL5,CL4,CL5,CL3,CL3,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL6,CL0,CL3
18-24,F,Left school at 18 years,UK,White,CL5,CL0,CL3,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
18-24,F,University degree,UK,White,CL6,CL3,CL0,CL0,CL6,CL0,CL5,CL6,CL0,CL3,CL0,CL3,CL3,CL0,CL0,CL0,CL6,CL0,CL6
18-24,F,Masters degree,UK,White,CL5,CL0,CL0,CL0,CL5,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
18-24,M,University degree,UK,Mixed-White/Asian,CL5,CL0,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
18-24,M,University degree,UK,Black,CL4,CL0,CL0,CL0,CL5,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,University degree,UK,White,CL6,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,University degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,University degree,UK,White,CL5,CL0,CL2,CL0,CL6,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0
18-24,M,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL5,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0
18-24,F,Left school at 18 years,UK,White,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL3
18-24,F,Masters degree,UK,White,CL5,CL0,CL0,CL0,CL6,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
18-24,F,"Some college or university, no certificate or degree",UK,White,CL4,CL2,CL0,CL0,CL2,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,University degree,UK,White,CL5,CL0,CL0,CL0,CL5,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,Left school at 17 years,UK,White,CL5,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,F,Left school at 16 years,UK,White,CL3,CL0,CL0,CL0,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
18-24,F,Left school at 18 years,Republic of Ireland,White,CL5,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
18-24,F,University degree,UK,White,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL0
18-24,F,"Some college or university, no certificate or degree",UK,White,CL6,CL0,CL3,CL0,CL6,CL5,CL6,CL3,CL0,CL3,CL0,CL0,CL5,CL0,CL0,CL0,CL6,CL0,CL3
18-24,F,Left school before 16 years,UK,White,CL5,CL2,CL3,CL6,CL6,CL6,CL5,CL4,CL2,CL3,CL3,CL0,CL3,CL2,CL2,CL2,CL6,CL0,CL0
18-24,M,Left school at 18 years,Canada,White,CL5,CL2,CL0,CL0,CL6,CL6,CL0,CL0,CL0,CL2,CL0,CL0,CL2,CL2,CL0,CL3,CL6,CL0,CL0
18-24,F,"Some college or university, no certificate or degree",UK,White,CL5,CL2,CL2,CL0,CL4,CL3,CL5,CL3,CL0,CL2,CL0,CL3,CL3,CL2,CL0,CL2,CL5,CL0,CL0
18-24,M,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL0,CL0,CL5,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
18-24,M,University degree,UK,White,CL5,CL0,CL0,CL2,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
18-24,F,Left school before 16 years,UK,White,CL5,CL3,CL2,CL3,CL6,CL5,CL6,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL0,CL3,CL6,CL0,CL0
18-24,M,Left school at 18 years,UK,White,CL6,CL3,CL3,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL5,CL4,CL3,CL0,CL3,CL5,CL0,CL0
18-24,M,"Some college or university, no certificate or degree",UK,White,CL5,CL0,CL3,CL3,CL6,CL6,CL5,CL5,CL0,CL3,CL0,CL4,CL3,CL0,CL0,CL2,CL6,CL0,CL0
